SW_PRIMARY_INDUSTRY

Software & Technology
Other
Education & Employment
Real Estate
Financial Services
Digital Communities
Travel & Recreation
"Marketing, Advertising & Creative"
"Media, Entertainment & Sport"
"Manufacturing, Automotive & Heavy Industry"
Retail & Consumer Goods
Food & Drink
Non-profit
